CA CAE,R4544637
SK KOS,R1791605
US LT5,R112328
US P9T,R180399
NL WPL,R1410558
DE JBO,R1384844
US UDY,R3905411
DE MAM,R382435
FR 8TI,R107678
HU KBJ,R1440628
FR DUW,R104664
FR HCN,R75602
AR AND,R7314622
ES VNG,R342724
DE TSH,R283563
US ABG,R125497
FR AVL,R1276841
IT OTT,R40791
CH BGA,R1684623
IT SNS,R41055
CO SSD,R11379165
PL G9N,R2908857
BR LDP,R315102
GB WEW,N3501430880
SE MUN,N7468489208
ES BDF,R342443
IT TUR,R47335
GB PTG,N864626746
FR XDM,R1848610
MX URI,N6254514011
DE DTU,R318749
US BVC,R112466
GB FET,R3740737
DE PYT,R1059436
CH CHO,R1684905
BE TUL,N671657348
