DE OKW,R6300508
BR RDT,R336744
PA PNB,N4184552913
BE OKG,R3389826
GR GBA,R15555592
US S29,R193928
NO LNE,N6205774483
FR M28,R233257
SE AGD,N4441022748
IT GDN,R47054
DE LLF,R318228
FR CM3,R111402
FR PYP,R93723
CH MAE,N28005703
ZA OGS,N262714271
SD KST,N248948488
AU WKR,R6026666
DE IEH,R964467
